##############
# CLUSTER 41 #
##############

attribute prevalence  =   1004 / 110100 = 0.009119
               biomedical science        121    0.000193
                   health science        119    0.000190
         interactive media design        110    0.000175
           bs in computer science        106    0.000169
               doctor of pharmacy        102    0.000163
             accounting & finance         99    0.000158
           ms in computer science         95    0.000152
                         comp sci         94    0.000150
                 print journalism         93    0.000148
                       geophysics         89    0.000142
                             bscs         87    0.000139
                 network security         87    0.000139
                              vce         81    0.000129
                      pre-nursing         79    0.000126
                       folkeskole         76    0.000121
                         aviation         72    0.000115
                 computer studies         69    0.000110
              magazine journalism         67    0.000107
                 graphic designer         65    0.000104


##############
# CLUSTER 10 #
##############

attribute prevalence  =   1244 / 110100 = 0.011299
occurrence prevalence =  12964 / 626862 = 0.020681

                          attribute  frequency  prevalence
          early childhood education        232    0.000370
                    massage therapy        147    0.000235
 industrial and systems engineering        131    0.000209
                    human resources        128    0.000204
                     music industry        125    0.000199
                      art education        116    0.000185
                     animal science        112    0.000179
                       3d animation        104    0.000166
                       food science        100    0.000160
                      legal studies         99    0.000158
                   video production         98    0.000156
                  human development         95    0.000152
                       pre-pharmacy         95    0.000152
          human resource management         94    0.000150
                              dance         92    0.000147
               occupational therapy         85    0.000136
               professional writing         85    0.000136
                          optometry         83    0.000132
                    health sciences         79    0.000126
                     social studies         79    0.000126
               speech communication         78    0.000124
              counseling psychology         73    0.000116
                             gen ed         73    0.000116
              fashion merchandising         71    0.000113
                       graphic arts         71    0.000113
                         film/video         65    0.000104
                   higher education         62    0.000099
                       epidemiology         60    0.000096
              finance and marketing         60    0.000096
                   exchange student         59    0.000094
                  classical studies         58    0.000093
          history/political science         57    0.000091
           marketing and management         56    0.000089
                       horticulture         55    0.000088
                          sculpture         55    0.000088
                atmospheric science         54    0.000086
                             arabic         53    0.000085
                              m.div         53    0.000085
               environmental design         52    0.000083
                   european studies         52    0.000083
            government and politics         52    0.000083
             media arts & animation         52    0.000083
             educational psychology         51    0.000081
              master of social work         50    0.000080
      political science and history         50    0.000080
                    general science         49    0.000078
                  medical assisting         49    0.000078
                      bs psychology         48    0.000077
                  japanese language         48    0.000077
                finance & economics         47    0.000075


#############
# CLUSTER 6 #
#############

attribute prevalence  =   1737 / 110100 = 0.015777
occurrence prevalence =  12713 / 626862 = 0.020280

                                  attribute  frequency  prevalence
                             bioinformatics        264    0.000421
                      computer applications        146    0.000233
 electronics and communications engineering        100    0.000160
                        operations research         94    0.000150
                           hotel management         84    0.000134
                               kindergarten         83    0.000132
                             civil engineer         80    0.000128
                                        all         78    0.000124
                                       bsit         72    0.000115
                        finance & marketing         70    0.000112
                                       i.t.         68    0.000108
                                        bcs         67    0.000107
                                         hr         66    0.000105
      industrial engineering and management         66    0.000105
            master of computer applications         66    0.000105
                                        bms         65    0.000104
              electronics & instrumentation         65    0.000104
                                        e&c         60    0.000096
                                   o levels         60    0.000096
                                    medical         59    0.000094
                           microelectronics         59    0.000094
                                      m.b.a         58    0.000093
                                     bs(cs)         55    0.000088
                           embedded systems         55    0.000088
                                      be it         54    0.000086
                        marketing & finance         54    0.000086
                            mba (marketing)         54    0.000086
                            pre engineering         52    0.000083
            electronics & telecommunication         51    0.000081
                  manufacturing engineering         51    0.000081
                                       msit         51    0.000081
                   bachelor of architecture         49    0.000078
                      marketing and finance         48    0.000077
                              mba (finance)         48    0.000077
                                        mcs         48    0.000077
                                      b com         47    0.000075
                       b.e computer science         47    0.000075
        electrical & electronic engineering         47    0.000075
                                     b.arch         46    0.000073
                             computer engg.         46    0.000073
                      chartered accountancy         45    0.000072
                                        slc         44    0.000070
                                   class 12         43    0.000069
                                 production         43    0.000069
                                  till 10th         43    0.000069
                          applied computing         42    0.000067
                                        iit         42    0.000067
                instrumentation engineering         42    0.000067
                           physical science         42    0.000067
            diploma in computer engineering         41    0.000065


##############
# CLUSTER 49 #
##############

attribute prevalence  =    635 / 110100 = 0.005767
occurrence prevalence =  11681 / 626862 = 0.018634

                                   attribute  frequency  prevalence
                                     english       5334    0.008509
                                  journalism       3212    0.005124
                                  philosophy       1916    0.003056
                            creative writing        532    0.000849
                          gcses and a levels          5    0.000008
                                  idrettsfag          4    0.000006
                                   omvårdnad          4    0.000006
                        business: management          3    0.000005
                             film studies ma          3    0.000005
             interactive multimedia creation          3    0.000005
      international virksomhedskommunikation          3    0.000005
                                 it-ingeniør          3    0.000005
                           sleeping in class          3    0.000005
                   adminstración de empresas          2    0.000003
             b.a. in business administration          2    0.000003
                        bachelor i medialogi          2    0.000003
                     betriebwirtschaftslehre          2    0.000003
        biblioteks- og informationsvidenskab          2    0.000003
                                  cisco ccnp          2    0.000003
                       clinical lab sciences          2    0.000003
                                     dancing          2    0.000003
                                dessin animé          2    0.000003
                               edb assistent          2    0.000003
                                     el-tele          2    0.000003
                          elektroniktekniker          2    0.000003
                            english- writing          2    0.000003
                                        funk          2    0.000003
                                 gk mekanisk          2    0.000003
                      health care specialist          2    0.000003
                 illustration/graphic design          2    0.000003
                               kunsthistorie          2    0.000003
             management information services          2    0.000003
