##############
# CLUSTER 39 #
##############

attribute prevalence  =   1062 / 246973 = 0.004300
                           camosun college         78    0.000084
                        ucla school of law         74    0.000080
                               ism dhanbad         71    0.000077
                            eckerd college         61    0.000066
                            albion college         59    0.000064
               clackamas community college         57    0.000061
                    university of winnipeg         56    0.000060
                  bharathidasan university         54    0.000058
                   morgan state university         54    0.000058
                         st. paul's school         48    0.000052
                     loma linda university         43    0.000046
                                      sfsu         43    0.000046
 school of the museum of fine arts, boston         39    0.000042
                                       ucd         35    0.000038
         charles s. mott community college         34    0.000037
                   university of amsterdam         32    0.000034
                             estácio de sá         29    0.000031
                       woodbury university         25    0.000027
                             dhaka college         23    0.000025
                east brunswick high school         22    0.000024
                        emmaus high school         18    0.000019
                 mission viejo high school         18    0.000019
