################
# CLUSTER 12.0 #
################

attribute prevalence  =   5191 / 555819 = 0.009339
                          rhetoric         63    0.000101
         math and computer science         61    0.000097
    telecommunications engineering         61    0.000097
             finance and marketing         60    0.000096
                          biología         59    0.000094
                  exchange student         59    0.000094
          b.s. in computer science         58    0.000093
                      ba economics         57    0.000091
          marketing and management         56    0.000089
           bsc in computer science         55    0.000088
                   mba (marketing)         54    0.000086
             phd, computer science         52    0.000083
                   english writing         51    0.000081
  management science & engineering         51    0.000081
             communications design         46    0.000073
                           nothing         46    0.000073
     english language & literature         45    0.000072
            b.s., computer science         43    0.000069


################
# CLUSTER 10.0 #
################

attribute prevalence  =   5333 / 555819 = 0.009595
occurrence prevalence =  18197 / 626862 = 0.029029

                                  attribute  frequency  prevalence
                         communication arts        190    0.000303
                                visual arts        183    0.000292
                     hospitality management        180    0.000287
                                     letras        167    0.000266
            comunicação social - jornalismo        164    0.000262
                                     matric        164    0.000262
                       ingeniería comercial        156    0.000249
                        engineering science        142    0.000227
                    construction management        134    0.000214
                    informatique de gestion        121    0.000193
                           business studies        112    0.000179
                   aeronautical engineering        111    0.000177
                                       mdiv        105    0.000168
                                       msee        104    0.000166
 electronics and communications engineering        100    0.000160
                           media production        100    0.000160
           information and computer science         99    0.000158
                               scientifique         91    0.000145
                                     fisica         89    0.000142
                                  aerospace         88    0.000140
                       digital media design         88    0.000140
                 master of computer science         88    0.000140
                  b.s. computer engineering         76    0.000121
                                copywriting         75    0.000120
    bachelor of science in computer science         72    0.000115
          management of information systems         72    0.000115
                       managerial economics         71    0.000113
                         biological science         69    0.000110
                      ingegneria gestionale         69    0.000110
                                        bcs         67    0.000107
                   corporate communications         63    0.000101
       services et réseaux de communication         63    0.000101
           web design and interactive media         60    0.000096
                                 ingegneria         59    0.000094
                         radio broadcasting         59    0.000094
                              biostatistics         57    0.000091
         ingegneria delle telecomunicazioni         56    0.000089
   dut services et réseaux de communication         54    0.000086
                                 matematica         54    0.000086
                                   biologie         52    0.000083
                            computer sience         52    0.000083
                    government and politics         52    0.000083
                  manufacturing engineering         51    0.000081
                     marketing & management         51    0.000081
                            b.a. psychology         50    0.000080
                      cultural anthropology         50    0.000080
                           media technology         48    0.000077
                                         mp         47    0.000075
                                        ade         45    0.000072
                                         hf         45    0.000072


################
# CLUSTER 24.0 #
################

attribute prevalence  =   5716 / 555819 = 0.010284
occurrence prevalence =  17649 / 626862 = 0.028155

                                     attribute  frequency  prevalence
                              creative writing        532    0.000849
                                            jd        413    0.000659
                         environmental science        304    0.000485
   electrical engineering and computer science        251    0.000400
                         b.s. computer science        225    0.000359
                  computer systems engineering        204    0.000325
            masters of business administration        177    0.000282
                                            ca        169    0.000270
                                product design        165    0.000263
                     ingeniería en computación        161    0.000257
                         computer applications        146    0.000233
                        landscape architecture        145    0.000231
 comunicação social - publicidade e propaganda        143    0.000228
                         m.s. computer science        131    0.000209
                information systems management        125    0.000199
                       supply chain management        121    0.000193
                       bs computer engineering        120    0.000191
                          msc computer science        120    0.000191
                               photojournalism        118    0.000188
                                 mba marketing        104    0.000166
                                          mlis         94    0.000150
                         angewandte informatik         92    0.000147
                          phd computer science         85    0.000136
                                             s         85    0.000136
                          speech communication         78    0.000124
     electrical engineering & computer science         75    0.000120
                            génie informatique         74    0.000118
                  computer graphics technology         70    0.000112
                                cinema studies         69    0.000110
                                    multimédia         69    0.000110
                                 executive mba         60    0.000096
                                   ba, english         58    0.000093
                                    enfermería         55    0.000088
                                          pcme         53    0.000085
                             piano performance         50    0.000080
                                  electronique         49    0.000078
                                           mcs         48    0.000077
                          ingeniería eléctrica         46    0.000073
                                      survival         45    0.000072
                        cognitive neuroscience         43    0.000069
                                   scientifico         42    0.000067
                         veterinary technology         42    0.000067
                                 ba in english         41    0.000065
                          cognitive psychology         41    0.000065
                          medicina veterinaria         41    0.000065
                     speech language pathology         40    0.000064
                     maths, physics, chemistry         39    0.000062
                       ms software engineering         39    0.000062
                                      médecine         39    0.000062
                           pedagogía en inglés         39    0.000062


################
# CLUSTER 29.0 #
################

attribute prevalence  =    985 / 555819 = 0.001772
occurrence prevalence =  17508 / 626862 = 0.027930

                                         attribute  frequency  prevalence
                                           history       3663    0.005843
                              chemical engineering       2482    0.003959
                                          medicine       2031    0.003240
                                         sociology       1876    0.002993
                                           nursing       1395    0.002225
                                               ece       1224    0.001953
                                   music education        742    0.001184
                                       linguistics        624    0.000995
                                              j.d.        481    0.000767
                              bsc computer science        254    0.000405
                                    music business        216    0.000345
                                        networking        158    0.000252
                                        technology         82    0.000131
                                          transfer         50    0.000080
                                               hhx         43    0.000069
                              associate of science         37    0.000059
                  ecology and evolutionary biology         37    0.000059
                                           welding         35    0.000056
                           experimental psychology         31    0.000049
                                  commercial music         30    0.000048
                                      aeronautical         25    0.000040
                                 technical writing         25    0.000040
                                business/economics         24    0.000038
                  criminology and criminal justice         22    0.000035
                                     music history         21    0.000034
 electronics and electrical communication engin...         19    0.000030
                                 finance/marketing         19    0.000030
                          economics and accounting         17    0.000027
                                 homeland security         17    0.000027
                         english: creative writing         16    0.000026
                                         esthetics         14    0.000022
                               business accounting         13    0.000021
                    computing and software systems         13    0.000021
                         digital arts and sciences         13    0.000021
                        physics & computer science         13    0.000021
                                 art & art history         12    0.000019
                                          not much         12    0.000019
                   3d animation and visual effects         11    0.000018
                                               asl         11    0.000018
     bachelor of science in electrical engineering         11    0.000018
         computer science and computer engineering         11    0.000018
          electronics and electrical communication         11    0.000018
                               english, journalism         11    0.000018
                               internet technology         11    0.000018
                molecular biology and biochemistry         11    0.000018
                                  russian language         11    0.000018
                  science, technology, and society         11    0.000018
                                              stac         11    0.000018
                                b.a. in psychology         10    0.000016
                              b.s computer science         10    0.000016


################
# CLUSTER 11.0 #
################

attribute prevalence  =   2352 / 555819 = 0.004232
occurrence prevalence =  17028 / 626862 = 0.027164

                                         attribute  frequency  prevalence
                                      ensino médio       1533    0.002446
                             ciência da computação       1283    0.002047
                            sistemas de informação       1049    0.001673
                          publicidade e propaganda        783    0.001249
                                           direito        624    0.000995
                                        jornalismo        546    0.000871
                                ensino fundamental        539    0.000860
                                       informática        508    0.000810
                                     administração        473    0.000755
                                    design gráfico        301    0.000480
                            técnico em informática        278    0.000443
                          engenharia de computação        273    0.000436
                            ciências da computação        269    0.000429
                            engenharia informática        216    0.000345
                          engenharia da computação        206    0.000329
                                  engenharia civil        165    0.000263
                         administração de empresas        150    0.000239
                        ensino fundamental e médio        138    0.000220
              bacharelado em ciência da computação        136    0.000217
                                         graduação        129    0.000206
                                          mestrado        129    0.000206
                                       publicidade        126    0.000201
                                      ensino medio        124    0.000198
                                desenho industrial        123    0.000196
                            processamento de dados        123    0.000196
                                         filosofia        109    0.000174
             analise e desenvolvimento de sistemas        102    0.000163
                                          história         98    0.000156
                             redes de computadores         97    0.000155
                                          biologia         94    0.000150
                             sistema de informação         93    0.000148
             bacharelado em sistemas de informação         91    0.000145
                            engenharia de produção         91    0.000145
                                          historia         87    0.000139
                                   electrical engg         86    0.000137
                           relações internacionais         82    0.000131
                                        matemática         79    0.000126
                                    design digital         76    0.000121
                                  ciências sociais         73    0.000116
                                telecomunicaciones         71    0.000113
                             técnico em eletrônica         71    0.000113
                            engenharia de software         62    0.000099
                                engenharia química         56    0.000089
                               analise de sistemas         55    0.000088
                                   ensino superior         54    0.000086
 tecnologia em análise e desenvolvimento de sis...         53    0.000085
                                         geografia         50    0.000080
                                   educação física         48    0.000077
                 bacharel em ciência da computação         46    0.000073
                              engenharia ambiental         43    0.000069


################
# CLUSTER 37.0 #
################

attribute prevalence  =   1882 / 555819 = 0.003386
occurrence prevalence =  13407 / 626862 = 0.021387

                                    attribute  frequency  prevalence
                                    education       1307    0.002085
                      international relations        970    0.001547
                             public relations        902    0.001439
                         elementary education        745    0.001188
                                          hsc        617    0.000984
                                      geology        358    0.000571
                                          phd        324    0.000517
                                    secondary        313    0.000499
                                      theater        303    0.000483
                                public policy        299    0.000477
              library and information science        236    0.000376
                    early childhood education        232    0.000370
                             sport management        167    0.000266
                               social science        154    0.000246
                                   b.tech cse        111    0.000177
          information sciences and technology        105    0.000168
                            materials science         95    0.000152
 ingeniería técnica en informática de gestión         85    0.000136
                       educational technology         77    0.000123
                library & information science         73    0.000116
                             ing. de sistemas         71    0.000113
                           ingeniería química         70    0.000112
                     instructional technology         66    0.000105
                              women's studies         64    0.000102
                                ba psychology         56    0.000089
                         masters of education         52    0.000083
                       educational psychology         51    0.000081
                                         msit         51    0.000081
                         masters in education         47    0.000075
              library and information studies         46    0.000073
               industrial and labor relations         44    0.000070
                        bachelor of education         42    0.000067
              journalism & mass communication         42    0.000067
                          applied linguistics         41    0.000065
                                          pgp         40    0.000064
                 mathematics/computer science         39    0.000062
                       middle eastern studies         39    0.000062
                      masters of architecture         38    0.000061
                     social studies education         38    0.000061
                  history & political science         37    0.000059
                        mathematics education         37    0.000059
                               museum studies         37    0.000059
                                  printmaking         37    0.000059
                           associates of arts         36    0.000057
                            school counseling         36    0.000057
                            science education         36    0.000057
                          master of education         34    0.000054
                                          mat         34    0.000054
                               marine science         33    0.000053
                         bs civil engineering         32    0.000051


################
# CLUSTER 18.0 #
################

attribute prevalence  =   2831 / 555819 = 0.005093
occurrence prevalence =  11999 / 626862 = 0.019141

                                     attribute  frequency  prevalence
                                    multimedia        460    0.000734
                                 culinary arts        323    0.000515
                                   kinesiology        290    0.000463
                                   meteorology        170    0.000271
                              physical therapy        165    0.000263
                           biomedical sciences        140    0.000223
           bachelor of business administration        106    0.000169
                                  3d animation        104    0.000166
                        graphic communications        102    0.000163
                                   grundschule        100    0.000160
                                 legal studies         99    0.000158
                              video production         98    0.000156
                                  pre-pharmacy         95    0.000152
                        bachelor of technology         87    0.000139
                          professional writing         85    0.000136
                           masters of divinity         78    0.000124
                            physical education         77    0.000123
 ingeniería técnica en informática de sistemas         75    0.000120
                                        gen ed         73    0.000116
                                    realschule         73    0.000116
                              business finance         70    0.000112
                           finance & marketing         70    0.000112
         industrial engineering and management         66    0.000105
                             social psychology         65    0.000104
                 liceo scientifico tecnologico         62    0.000099
                                  epidemiology         60    0.000096
                        ciências e tecnologias         59    0.000094
          communication sciences and disorders         58    0.000093
                                 11th and 12th         57    0.000091
                                   infographie         57    0.000091
            electronics engineering technology         55    0.000088
                      web design & development         55    0.000088
                           atmospheric science         54    0.000086
                          creative advertising         54    0.000086
                              game programming         53    0.000085
                                   awesomeness         52    0.000083
                                   computación         50    0.000080
                               general science         49    0.000078
                             medical assisting         49    0.000078
                           finance & economics         47    0.000075
                        film and digital media         45    0.000072
                                           pni         45    0.000072
                                      bts iris         44    0.000070
         ingenieria en sistemas de informacion         43    0.000069
                         television production         43    0.000069
                         mathematical sciences         42    0.000067
                       pharmaceutical sciences         42    0.000067
              communicatie & multimedia design         41    0.000065
                      communication management         41    0.000065
                        entertainment business         40    0.000064


################
# CLUSTER 49.0 #
################

attribute prevalence  =    703 / 555819 = 0.001265
occurrence prevalence =  11864 / 626862 = 0.018926

                             attribute  frequency  prevalence
                               finance       3614    0.005765
                            accounting       2701    0.004309
                                    it       2357    0.003760
                                design        652    0.001040
                                  cntt        205    0.000327
                               college        205    0.000327
                  bachelor of commerce        194    0.000309
                              engineer        125    0.000199
                   công nghệ thông tin        122    0.000195
                              software        112    0.000179
                            automation        103    0.000164
 international business administration         53    0.000085
                                   fsc         49    0.000078
                   quản trị kinh doanh         41    0.000065
                                 basic         37    0.000059
