#############
# CLUSTER 3 #
#############

attribute prevalence  =   6437 / 246973 = 0.026064
         guru gobind singh indraprastha university        214    0.000231
                              university of madras        214    0.000231
                                 sastra university        213    0.000230
                                             pesit        193    0.000208
                                             icfai        188    0.000203
                         sikkim manipal university        165    0.000178
 narsee monjee institute of management and high...        150    0.000162
                uttar pradesh technical university        148    0.000159
                                 andhra university        140    0.000151
    thapar institute of engineering and technology        135    0.000145
                   singapore management university        130    0.000140
     visvesvaraya national institute of technology        127    0.000137
               manipal academy of higher education        123    0.000133
         bharati vidyapeeth college of engineering        119    0.000128
                                       nit calicut        115    0.000124
                        ssn college of engineering        115    0.000124
                                    srm university        114    0.000123
               vishwakarma institute of technology        113    0.000122
       karunya institute of technology, coimbatore        111    0.000120
           maharaja sayajirao university of baroda        105    0.000113
                      college of engineering, pune        104    0.000112
       jaypee university of information technology        104    0.000112
                institute of management technology        102    0.000110
                                  mithibai college        102    0.000110
                              annamalai university         99    0.000107
          indian institute of management bangalore         99    0.000107
                 bangalore institute of technology         97    0.000105
                coimbatore institute of technology         94    0.000101
                         indian school of business         94    0.000101
    sathyabama institute of science and technology         90    0.000097
                           south point high school         89    0.000096
                               chitkara university         87    0.000094
              west bengal university of technology         86    0.000093
          national institute of fashion technology         85    0.000092


##############
# CLUSTER 12 #
##############

attribute prevalence  =   2426 / 246973 = 0.009823
occurrence prevalence =  37289 / 928097 = 0.040178

                                     attribute  frequency  prevalence
            university of california, berkeley       4279    0.004611
             university of southern california       2751    0.002964
         university of california, los angeles       2616    0.002819
                    carnegie mellon university       2583    0.002783
         massachusetts institute of technology       2252    0.002426
           university of california, san diego       2130    0.002295
                           columbia university       1982    0.002136
                            cornell university       1954    0.002105
                    university of pennsylvania       1912    0.002060
              university of california, irvine       1674    0.001804
       university of california, santa barbara       1289    0.001389
                               yale university       1117    0.001204
                              brown university       1114    0.001200
                     san josé state university       1036    0.001116
          university of california, santa cruz        968    0.001043
                          princeton university        960    0.001034
                                          ucla        709    0.000764
                        santa clara university        695    0.000749
                             dartmouth college        669    0.000721
                       university of cambridge        599    0.000645
                                   uc berkeley        591    0.000637
            california institute of technology        495    0.000533
                                      stanford        348    0.000375
        university of the philippines mindanao          7    0.000008
                               appleby college          5    0.000005
                         calaveras high school          5    0.000005
                            egerton university          4    0.000004
                            filološki fakultet          4    0.000004
                                     kjellerup          4    0.000004
                          matematički fakultet          4    0.000004
 technological educational institute of athens          4    0.000004
                                          akto          3    0.000003
                         biotehniška fakulteta          3    0.000003
                     fakultet političkih nauka          3    0.000003
                               gimnazija čačak          3    0.000003
