#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
                                english and french         12    0.000019
                            менеджмент организаций         12    0.000019
                                     advertisement         11    0.000018
                    bachelor's in computer science         11    0.000018
                           программное обеспечение         11    0.000018
 программное обеспечение автоматизированных систем         11    0.000018
                                   банковское дело         10    0.000016
                                       кибернетика         10    0.000016
 математическое обеспечение и администрирование...         10    0.000016
                                              повт         10    0.000016
                                           повтиас         10    0.000016
                     information and communication          9    0.000014
                             программная инженерия          9    0.000014
                               среднее образование          9    0.000014
             экономика и управление на предприятии          9    0.000014
                                              mcsa          8    0.000013
                         перевод и переводоведение          8    0.000013
                                       радиофизика          8    0.000013
                                            физмат          8    0.000013
                                экономист-менеджер          8    0.000013
           informations- und kommunikationstechnik          7    0.000011
                                         physicist          7    0.000011
                            компьютерная инженерия          7    0.000011
                                компьютерные науки          7    0.000011
                           международная экономика          7    0.000011
                                      учет и аудит          7    0.000011
                                              фивт          7    0.000011
                                      basic school          6    0.000010
                                        e-learning          6    0.000010
                           philosophy and theology          6    0.000010
                                 radio engineering          6    0.000010
                                        маркетолог          6    0.000010
                                         педиатрия          6    0.000010
                                       law student          5    0.000008


##############
# CLUSTER 48 #
##############

attribute prevalence  =    239 / 555819 = 0.000430
occurrence prevalence =    917 / 626862 = 0.001463

                                       attribute  frequency  prevalence
                                      datateknik         57    0.000091
                          business adminstration         46    0.000073
                                         deutsch         29    0.000046
                                           tesol         28    0.000045
                             makina mühendisliği         25    0.000040
                                       sosyoloji         20    0.000032
                                          maliye         19    0.000030
                                        mimarlık         19    0.000030
                              çevre mühendisliği         19    0.000030
                       english language teaching         17    0.000027
                                              id         17    0.000027
                           media & communication         17    0.000027
                                      bilgisayar         14    0.000022
                                   computer eng.         13    0.000021
                                     dış ticaret         13    0.000021
                                      ilköğretim         13    0.000021
     computer technology and information systems         12    0.000019
                                         ilkokul         12    0.000019
                           elektrik mühendisliği         11    0.000018
                        mathematical engineering         11    0.000018
                            yazılım mühendisliği         11    0.000018
 computer education and instructional technology         10    0.000016
                              fizik mühendisliği         10    0.000016
                  translation and interpretation         10    0.000016
                                     yabancı dil         10    0.000016
                                      ekonometri          9    0.000014
       naval architecture and marine engineering          9    0.000014
                                       psikoloji          9    0.000014
                 siyaset bilimi ve kamu yönetimi          9    0.000014
                                halkla ilişkiler          8    0.000013
                                        iletişim          8    0.000013
                                 bilgisayar müh.          7    0.000011
                                            böte          7    0.000011
           elektronik ve haberleşme mühendisliği          7    0.000011
                                             elt          7    0.000011
                                       pazarlama          7    0.000011
                      endüstri ürünleri tasarımı          6    0.000010
                          environmental engineer          6    0.000010
                        güzel sanatlar fakültesi          6    0.000010
                                      mekatronik          6    0.000010
                                     mühendislik          6    0.000010
                          bilgisayar programlama          5    0.000008
                           business admistration          5    0.000008
                         diş hekimliği fakültesi          5    0.000008
                                          inşaat          5    0.000008
                   moleküler biyoloji ve genetik          5    0.000008
                                               o          5    0.000008
                            tekstil mühendisliği          5    0.000008
                                advanced english          4    0.000006
                  advertising & brand management          4    0.000006


##############
# CLUSTER 25 #
##############

attribute prevalence  =     95 / 555819 = 0.000171
occurrence prevalence =    885 / 626862 = 0.001412

                                         attribute  frequency  prevalence
                         early childhood education        232    0.000370
                                    social science        154    0.000246
                            educational technology         77    0.000123
                            educational psychology         51    0.000081
                              masters in education         47    0.000075
                               applied linguistics         41    0.000065
                                     b.a., english         28    0.000045
                          curriculum & instruction         26    0.000041
                                             m.ed.         23    0.000037
                          education administration         17    0.000027
