#############
# CLUSTER 0 #
#############

attribute prevalence  =  71961 / 555819 = 0.129468
occurrence prevalence = 101735 / 626862 = 0.162292

                                 music composition        160    0.000255
                            network administration        153    0.000244
                                   pre-engineering        135    0.000215
                                    health science        119    0.000190
                          interactive media design        110    0.000175
                                doctor of pharmacy        102    0.000163
                               economics & finance         29    0.000046
       bachelor of science in computer engineering         28    0.000045
                                       elektronika         26    0.000041
                                    ba, psychology         22    0.000035
                           computer graphic design         21    0.000034
                      computer network engineering         20    0.000032
                                network management         20    0.000032
                     electromechanical engineering         17    0.000027
                      emergency medical technician         17    0.000027
                                    bs, psychology         12    0.000019
                           networking technologies         12    0.000019
                                  matematisk linje          9    0.000014
                    digital arts and entertainment          8    0.000013
           computer science (software engineering)          7    0.000011
                                        grundskole          5    0.000008
                         management and operations          4    0.000006
                         bs in applied mathematics          3    0.000005
                      internet services technology          3    0.000005
                                            10 kl.          2    0.000003
 civil & environmental engineering with focus i...          1    0.000002
          design, computing, business, electronics          1    0.000002
                                 doing what i want          1    0.000002
                    ma, professional communication          1    0.000002
                   radiological health engineering          1    0.000002
                    software engineering / physics          1    0.000002


##############
# CLUSTER 33 #
##############

attribute prevalence  =    301 / 555819 = 0.000542
occurrence prevalence =  15887 / 626862 = 0.025344

                              attribute  frequency  prevalence
                                derecho        588    0.000938
                               medicina        526    0.000839
                         diseño gráfico        511    0.000815
                            informática        508    0.000810
                             periodismo        497    0.000793
                 ingeniería informática        468    0.000747
                           arquitectura        436    0.000696
                             publicidad        348    0.000555
                                    phd        324    0.000517
                           bachillerato        307    0.000490
                             secundaria        306    0.000488
                               primaria        267    0.000426
                             psicología        262    0.000418
              ingeniería en informática        251    0.000400
                    systems engineering        243    0.000388
                 ingeniería de sistemas        238    0.000380
                              bachiller        233    0.000372
                 ingenieria de sistemas        215    0.000343
                           preparatoria        209    0.000333
                 ingenieria en sistemas        206    0.000329
                                    isc        195    0.000311
                         diseño grafico        187    0.000298
                    comunicación social        186    0.000297
                  ingeniería industrial        184    0.000294
            ciencias de la comunicación        178    0.000284
              ingeniería en computación        161    0.000257
                   ingeniería comercial        156    0.000249
 ingeniería en sistemas computacionales        149    0.000238
                           comunicación        144    0.000230
               comunicación audiovisual        138    0.000220
 ingenieria en sistemas computacionales        128    0.000204
                   analista de sistemas        127    0.000203
                 ingeniería en sistemas        127    0.000203
                       ingeniería civil        126    0.000201
                      diseño industrial        125    0.000199
           ingeniería civil informática        124    0.000198
              ingenieria en informatica        123    0.000196
                 ingenieria informatica        122    0.000195
                               economía        121    0.000193
                               sistemas        121    0.000193
            ingeniería civil industrial        120    0.000191
                          mercadotecnia        120    0.000191
                                    eso        118    0.000188
                  ingeniero de sistemas        112    0.000179
                 ingeniería electrónica        110    0.000175
          ing. sistemas computacionales        109    0.000174
                             ingenieria        101    0.000161
       ing. en sistemas computacionales        100    0.000160
                          ing. sistemas         96    0.000153
                  bachiller en ciencias         93    0.000148


##############
# CLUSTER 16 #
##############

attribute prevalence  =      6 / 555819 = 0.000011
occurrence prevalence =  13339 / 626862 = 0.021279

                        attribute  frequency  prevalence
                          science       3767    0.006009
                civil engineering       2588    0.004129
             chemical engineering       2482    0.003959
                           b.tech       1915    0.003055
 computer science and engineering       1442    0.002300
                              cse       1145    0.001827


##############
# CLUSTER 12 #
##############

attribute prevalence  =    100 / 555819 = 0.000180
occurrence prevalence =  12393 / 626862 = 0.019770

                                   attribute  frequency  prevalence
                     international relations        970    0.001547
                            public relations        902    0.001439
                      international business        891    0.001421
                          english literature        855    0.001364
         electrical and computer engineering        762    0.001216
                                        film        727    0.001160
                                        math        666    0.001062
                                 linguistics        624    0.000995
                         bs computer science        459    0.000732
                                  government        458    0.000731
                                          ba        419    0.000668
                           cognitive science        313    0.000499
                                        eecs        309    0.000493
                         ms computer science        255    0.000407
                            american studies        251    0.000400
 electrical engineering and computer science        251    0.000400
                       b.s. computer science        225    0.000359
                                    classics        207    0.000330
                computer systems engineering        204    0.000325
                                          ms        201    0.000321
                                astrophysics        196    0.000313
                                theatre arts        192    0.000306
                                          ca        169    0.000270
                 masters in computer science        152    0.000242
                       m.s. computer science        131    0.000209
                           interactive media        129    0.000206
                          interaction design        110    0.000175
                                 english lit        109    0.000174
                               art direction        105    0.000168
               computer science, mathematics         94    0.000150
                              marine biology         94    0.000150
                  human computer interaction         89    0.000142
                                    rhetoric         63    0.000101
                   math and computer science         61    0.000097
              telecommunications engineering         61    0.000097
                    b.s. in computer science         58    0.000093
                                ba economics         57    0.000091
                       phd, computer science         52    0.000083
            management science & engineering         51    0.000081
                      b.s., computer science         43    0.000069
                                    poli sci         40    0.000064
          management science and engineering         38    0.000061
                       msc. computer science         32    0.000051
                      mathematical economics         29    0.000046
                                        mscs         26    0.000041
                     media arts and sciences         25    0.000040
 computer science and electrical engineering         23    0.000037
                         computer science bs         17    0.000027
                                     dropout         17    0.000027
                                 msc finance         17    0.000027


#############
# CLUSTER 5 #
#############

attribute prevalence  =     82 / 555819 = 0.000148
occurrence prevalence =  11985 / 626862 = 0.019119

                                         attribute  frequency  prevalence
                               business management       1572    0.002508
                                           general       1467    0.002340
                                   general studies       1089    0.001737
                            industrial engineering       1084    0.001729
                                      anthropology       1078    0.001720
                                  criminal justice        953    0.001520
                                      neuroscience        631    0.001007
                                           theatre        617    0.000984
                                         fine arts        448    0.000715
                                 computer sciences        439    0.000700
                                         computing        386    0.000616
                                           primary        280    0.000447
             análise e desenvolvimento de sistemas        202    0.000322
                                      broadcasting        194    0.000309
                                                aa        163    0.000260
                                project management        157    0.000250
                                               ged        139    0.000222
                                            m.b.a.        126    0.000201
                                  senior secondary        125    0.000199
                                                hs        118    0.000188
                                             s.s.c        104    0.000166
                                        e-business         91    0.000145
                                     computer engg         90    0.000144
                                      pharmacology         87    0.000139
     bachelor of science in information technology         65    0.000104
                                             h.s.c         51    0.000081
                                               bds         42    0.000067
                               textile engineering         25    0.000040
                       economics, computer science         18    0.000029
                            electronics technician         18    0.000029
                                    creative media         15    0.000024
       master of science in information technology         14    0.000022
                                              jazz         10    0.000016
                       natural language processing          8    0.000013
                                    physics, maths          7    0.000011
                                               hbs          5    0.000008
                               engineering systems          4    0.000006
                     entrepreneurship & management          4    0.000006
                                               iee          4    0.000006
              secondary school leaving certificate          4    0.000006
                      secondary & higher secondary          3    0.000005
 tecnologo en analisis y desarrollo de sistemas...          3    0.000005
                                              ecom          2    0.000003
                           entertainment marketing          2    0.000003
                               preventive medicine          2    0.000003
 programmer analyst / internet solutions developer          2    0.000003
                           russian language course          2    0.000003
                              aa, criminal justice          1    0.000002
                   android application development          1    0.000002
                        art, design and filmmaking          1    0.000002


##############
# CLUSTER 35 #
##############

attribute prevalence  =      2 / 555819 = 0.000004
occurrence prevalence =   9158 / 626862 = 0.014609

         attribute  frequency  prevalence
 political science       4988    0.007957
               law       4170    0.006652


##############
# CLUSTER 10 #
##############

attribute prevalence  =     42 / 555819 = 0.000076
occurrence prevalence =   8844 / 626862 = 0.014108

                                         attribute  frequency  prevalence
                                      ensino médio       1533    0.002446
                             ciência da computação       1283    0.002047
                            sistemas de informação       1049    0.001673
                          publicidade e propaganda        783    0.001249
                                           direito        624    0.000995
                                        jornalismo        546    0.000871
                                ensino fundamental        539    0.000860
                                     administração        473    0.000755
                                        web design        291    0.000464
                            técnico em informática        278    0.000443
                                comunicação social        256    0.000408
                            engenharia informática        216    0.000345
                                  engenharia civil        165    0.000263
                        ensino fundamental e médio        138    0.000220
              bacharelado em ciência da computação        136    0.000217
                                      ensino medio        124    0.000198
                                desenho industrial        123    0.000196
                             técnico em eletrônica         71    0.000113
                                   ensino superior         54    0.000086
                                         geografia         50    0.000080
                                        telemática         32    0.000051
                                    design grafico         14    0.000022
                             ensino médio completo         14    0.000022
                            engenharia metalúrgica          7    0.000011
                                     1ª a 4ª série          5    0.000008
                             ensino medio completo          5    0.000008
                            mba gestão de projetos          5    0.000008
             montagem e manutenção de computadores          5    0.000008
                                     5ª a 8ª série          4    0.000006
                       docência do ensino superior          4    0.000006
                                       3º colegial          3    0.000005
                                       belo jardim          3    0.000005
                            técnico de edificações          2    0.000003
                                  1º e 2º colegial          1    0.000002
                               campus nilo peçanha          1    0.000002
                                      encino medio          1    0.000002
 especialização em gestão de organizações públicas          1    0.000002
                                      jardim e pré          1    0.000002
                                        op. camera          1    0.000002
                                  pd. ensino medio          1    0.000002
                                       proficional          1    0.000002
                  tecnico en segurança do trabalho          1    0.000002


##############
# CLUSTER 25 #
##############

attribute prevalence  =    305 / 555819 = 0.000549
occurrence prevalence =   8825 / 626862 = 0.014078

                                     attribute  frequency  prevalence
                                design gráfico        301    0.000480
                      engenharia de computação        273    0.000436
                        ciências da computação        269    0.000429
                                      economia        268    0.000428
                           engenharia elétrica        219    0.000349
                      engenharia da computação        206    0.000329
                       arquitetura e urbanismo        192    0.000306
                                        letras        167    0.000266
               comunicação social - jornalismo        164    0.000262
                               social sciences        160    0.000255
                     administração de empresas        150    0.000239
                  bachelor of computer science        148    0.000236
 comunicação social - publicidade e propaganda        143    0.000228
                                     graduação        129    0.000206
                                      mestrado        129    0.000206
                                   publicidade        126    0.000201
                                       turismo        125    0.000199
                        processamento de dados        123    0.000196
                           engenharia mecânica        118    0.000188
                                            la        116    0.000185
                           análise de sistemas        110    0.000175
                                           ist        104    0.000166
                        sistemas para internet        101    0.000161
                           ciências biológicas         99    0.000158
                                      história         98    0.000156
                         redes de computadores         97    0.000155
                                      biologia         94    0.000150
                         sistema de informação         93    0.000148
                                       química         92    0.000147
         bacharelado em sistemas de informação         91    0.000145
                        engenharia de produção         91    0.000145
                                   odontologia         90    0.000144
                                  fisioterapia         89    0.000142
                                      historia         87    0.000139
                               electrical engg         86    0.000137
                                     pedagogia         85    0.000136
                             relações públicas         85    0.000136
                               mba - marketing         83    0.000132
                    master in computer science         82    0.000131
                       relações internacionais         82    0.000131
                                    matemática         79    0.000126
             mestrado em ciência da computação         79    0.000126
                                design digital         76    0.000121
                                  licenciatura         74    0.000118
                              ciências sociais         73    0.000116
                            ciências contábeis         72    0.000115
            bacharel em sistemas de informação         69    0.000110
                                       tourism         68    0.000108
                         ciencia da computação         67    0.000107
                                      colegial         64    0.000102


#############
# CLUSTER 2 #
#############

attribute prevalence  =      1 / 555819 = 0.000002
occurrence prevalence =   7628 / 626862 = 0.012169

attribute  frequency  prevalence
      mba       7628    0.012169


##############
# CLUSTER 19 #
##############

attribute prevalence  =    253 / 555819 = 0.000455
occurrence prevalence =   7114 / 626862 = 0.011349

                                 attribute  frequency  prevalence
                       information systems       1471    0.002347
                         general education        677    0.001080
                                       bba        581    0.000927
                                   geology        358    0.000571
                       computer networking        351    0.000560
                                       ict        299    0.000477
                        information system        273    0.000436
                         telecommunication        205    0.000327
                      bachelor of commerce        194    0.000309
                              mechatronics        163    0.000260
                         associate of arts        158    0.000252
         electronics and telecommunication        115    0.000183
                                      ccna        107    0.000171
                                         x        101    0.000161
                        general management         98    0.000156
                   international economics         86    0.000137
                                   economy         59    0.000094
        electronics and telecommunications         59    0.000094
                          japanese studies         55    0.000088
                                programmer         53    0.000085
                                electronic         51    0.000081
                           natural science         50    0.000080
                         corporate finance         44    0.000070
                                       bis         43    0.000069
                       finance and banking         43    0.000069
                       international trade         43    0.000069
                                  designer         42    0.000067
                   mechatronic engineering         39    0.000062
                             junior school         38    0.000061
                                     basic         37    0.000059
                                 languages         37    0.000059
                        điện tử viễn thông         32    0.000051
                                         a         31    0.000049
                                      qtkd         31    0.000049
                                      thpt         31    0.000049
                            bachelor of it         27    0.000043
                                   kế toán         27    0.000043
                       tài chính ngân hàng         27    0.000043
                         banking & finance         26    0.000041
                                     cấp 3         25    0.000040
                         finance & banking         25    0.000040
               business information system         24    0.000038
                        external economics         23    0.000037
                             tv production         23    0.000037
 information and communication engineering         22    0.000035
