##############
# CLUSTER 22 #
##############

attribute prevalence  =   1464 / 555819 = 0.002634
               character animation         86    0.000137
       computer systems technology         86    0.000137
 information technology management         86    0.000137
 communication & multimedia design         82    0.000131
                       basisschool         79    0.000126
                doctor of medicine         77    0.000123
         b.s. computer engineering         76    0.000121
                     mba - finance         76    0.000121
                               llb         75    0.000120
                               gis         74    0.000118
 management of information systems         72    0.000115
                     it management         71    0.000113
                     journalistiek         69    0.000110
 mechanical engineering technology         69    0.000110
       computer information system         65    0.000104
      information systems security         65    0.000104
            technische informatica         65    0.000104
      bachelor in computer science         64    0.000102
           medier og kommunikasjon         63    0.000101
              aeronautical science         61    0.000097
                        ba history         61    0.000097
                       datamatiker         61    0.000097
    bachelor of science in nursing         58    0.000093


##############
# CLUSTER 13 #
##############

attribute prevalence  =   1361 / 555819 = 0.002449
occurrence prevalence =  15932 / 626862 = 0.025415

                                   attribute  frequency  prevalence
                      international business        891    0.001421
                                 linguistics        624    0.000995
                         bs computer science        459    0.000732
                                  government        458    0.000731
                           computer sciences        439    0.000700
                                          ba        419    0.000668
                        communication design        337    0.000538
                           cognitive science        313    0.000499
                                        eecs        309    0.000493
                       visual communications        305    0.000487
                                     theater        303    0.000483
                         ms computer science        255    0.000407
                        bsc computer science        254    0.000405
                            american studies        251    0.000400
 electrical engineering and computer science        251    0.000400
                          computer animation        236    0.000376
                       b.s. computer science        225    0.000359
                                  humanities        221    0.000353
                                    classics        207    0.000330
                computer systems engineering        204    0.000325
                                          ms        201    0.000321
                                astrophysics        196    0.000313
                          master of divinity        192    0.000306
           electrical & computer engineering        185    0.000295
          masters of business administration        177    0.000282
                                          ca        169    0.000270
                 masters in computer science        152    0.000242
                      landscape architecture        145    0.000231
                              urban planning        132    0.000211
                       m.s. computer science        131    0.000209
                                      m.b.a.        126    0.000201
             computer engineering technology        122    0.000195
                     bs computer engineering        120    0.000191
                        msc computer science        120    0.000191
                                          hs        118    0.000188
                             photojournalism        118    0.000188
                          interaction design        110    0.000175
                                 english lit        109    0.000174
            computer and information science        108    0.000172
                                 mba finance        108    0.000172
                               art direction        105    0.000168
                                        msee        104    0.000166
          biochemistry and molecular biology         96    0.000153
               computer science, mathematics         94    0.000150
                              marine biology         94    0.000150
                           master of science         94    0.000150
                                        mlis         94    0.000150
                   bs electrical engineering         90    0.000144
           electrical engineering technology         90    0.000144
                  human computer interaction         89    0.000142


##############
# CLUSTER 16 #
##############

attribute prevalence  =   3020 / 555819 = 0.005433
occurrence prevalence =  13974 / 626862 = 0.022292

                                     attribute  frequency  prevalence
                                      economia        268    0.000428
                           engenharia elétrica        219    0.000349
                      engenharia da computação        206    0.000329
                       arquitetura e urbanismo        192    0.000306
                                        letras        167    0.000266
               comunicação social - jornalismo        164    0.000262
                               social sciences        160    0.000255
                  bachelor of computer science        148    0.000236
 comunicação social - publicidade e propaganda        143    0.000228
                                   publicidade        126    0.000201
                                       turismo        125    0.000199
                        processamento de dados        123    0.000196
                           engenharia mecânica        118    0.000188
                                            la        116    0.000185
                           análise de sistemas        110    0.000175
                                           ist        104    0.000166
         analise e desenvolvimento de sistemas        102    0.000163
                        sistemas para internet        101    0.000161
                           ciências biológicas         99    0.000158
                                      história         98    0.000156
                         redes de computadores         97    0.000155
                                      biologia         94    0.000150
                         sistema de informação         93    0.000148
                                       química         92    0.000147
         bacharelado em sistemas de informação         91    0.000145
                        engenharia de produção         91    0.000145
                                   odontologia         90    0.000144
                                  fisioterapia         89    0.000142
                                     pedagogia         85    0.000136
                             relações públicas         85    0.000136
                               mba - marketing         83    0.000132
                    master in computer science         82    0.000131
                                    matemática         79    0.000126
             mestrado em ciência da computação         79    0.000126
                                design digital         76    0.000121
                                  licenciatura         74    0.000118
                              ciências sociais         73    0.000116
                            ciências contábeis         72    0.000115
            bacharel em sistemas de informação         69    0.000110
                                    computação         68    0.000108
                                       tourism         68    0.000108
                         ciencia da computação         67    0.000107
                                    enfermagem         66    0.000105
                                      colegial         64    0.000102
                        engenharia de software         62    0.000099
                       msc in computer science         62    0.000099
                                       2º grau         61    0.000097
            engenharia de controle e automação         57    0.000091
                            engenharia química         56    0.000089
                                     webdesign         56    0.000089


##############
# CLUSTER 47 #
##############

attribute prevalence  =   1069 / 555819 = 0.001923
occurrence prevalence =  13226 / 626862 = 0.021099

                                  attribute  frequency  prevalence
                                  marketing       4950    0.007896
                                    finance       3614    0.005765
                    business administration       3472    0.005539
                         droit des affaires          6    0.000010
                                  érettségi          6    0.000010
                         verkehrswirtschaft          5    0.000008
                  elektriciteit-elektronica          4    0.000006
                                 történelem          4    0.000006
             bacharel em ciências contábeis          3    0.000005
            business and management studies          3    0.000005
            communicatie & multimediadesign          3    0.000005
                          culturele studies          3    0.000005
                        educacion comercial          3    0.000005
                          electronica - ict          3    0.000005
         engineering information technology          3    0.000005
                          latijn - wiskunde          3    0.000005
                      network adminstration          3    0.000005
            technologie de systèmes ordinés          3    0.000005
                                       1995          2    0.000003
                1º e 2º ano do ensino médio          2    0.000003
              accounting information system          2    0.000003
 accounting, finance, technology management          2    0.000003
   advanced diploma in 3d animation and vfx          2    0.000003
                                 andragógia          2    0.000003
                  applied economic sciences          2    0.000003
              audiovizuális szakasszisztens          2    0.000003
                       beeldende vormgeving          2    0.000003
                         bfa fashion design          2    0.000003
                          biowissenschaften          2    0.000003
                              bs, economics          2    0.000003
 business information technology management          2    0.000003
                          bygg & anläggning          2    0.000003
                                      cap 3          2    0.000003
                                 castellano          2    0.000003
                        commercial engineer          2    0.000003
                     commercieel webverkeer          2    0.000003
                    communications, english          2    0.000003
                               communicator          2    0.000003
                               culinary art          2    0.000003
                                  cyber law          2    0.000003
                                      dansk          2    0.000003
            design for visual communication          2    0.000003
                                        dil          2    0.000003
              dizajner medija u obrazovanju          2    0.000003
                   droit de l'environnement          2    0.000003
                                        e.s          2    0.000003
                        economie / wiskunde          2    0.000003
                     ekonomi/marknadsföring          2    0.000003
                     engelse taal & cultuur          2    0.000003
                    englisch und geschichte          2    0.000003


##############
# CLUSTER 27 #
##############

attribute prevalence  =   1131 / 555819 = 0.002035
occurrence prevalence =  12448 / 626862 = 0.019858

                             attribute  frequency  prevalence
                          ensino médio       1533    0.002446
                 ciência da computação       1283    0.002047
                sistemas de informação       1049    0.001673
              publicidade e propaganda        783    0.001249
                                design        652    0.001040
                               direito        624    0.000995
                            jornalismo        546    0.000871
                    ensino fundamental        539    0.000860
                         administração        473    0.000755
                        design gráfico        301    0.000480
                            web design        291    0.000464
                técnico em informática        278    0.000443
